nombre,pais,api_id,api_source
Helen Zimmern,,Helen Zimmern,wikipedia
Kid Koala,touring turntable,Kid Koala,wikipedia
Dave Meyers,,Dave Meyers,wikipedia
Ronald K.L. Collins,,Ronald K. L. Collins,wikipedia
Niall Leonard,,Fifty Shades (film series),wikipedia
Wong Jing,,Wong Jing,wikipedia
Jason Isbell,artists such,Jason Isbell,wikipedia
Matt Berman,,The Baby Pact,wikipedia
Rich Lee,,Rich Lee,wikipedia
Eleanor Bergstein,American,Eleanor Bergstein,wikipedia
Eddie Money,,Eddie Money,wikipedia
Jermaine Dupri,,Jermaine Dupri,wikipedia
Steven Lutvak,,Steven Lutvak,wikipedia
Holly Hester,New Zealand,The Royal Treatment (film),wikipedia
Warren Manzi,,Warren Manzi,wikipedia
Jess Walter,American,Jess Walter,wikipedia
Rel Dowdell,the prestigious,Rel Dowdell,wikipedia
Karen Janszen,April to,A Walk to Remember,wikipedia
Ravi K. Chandran,,Ravi K. Chandran,wikipedia
Shyam Benegal,Hyderabad to,Shyam Benegal,wikipedia
Tena Clark,,"This Christmas, Aretha",wikipedia
Don Henley,,Don Henley,wikipedia
Jesse Landry,,Jesse Plemons,wikipedia
Nicole Conn,,Nicole Conn,wikipedia
Buddy Holly,country and,Buddy Holly,wikipedia
Arista Records,,Arista Records,wikipedia
Wolf Entertainment,,Wolf Entertainment,wikipedia
Arech Dragonbreath,the forces,King's Bounty,wikipedia
Ian Fleming,his wartime,Ian Fleming,wikipedia
Harlan Coben,American,Harlan Coben,wikipedia
Paul Stolper Gallery,,Paul Stolper Gallery,wikipedia
Guy Ritchie,,Guy Ritchie,wikipedia
Sophie Kinsella,,Sophie Kinsella,wikipedia
Simon Mayhew-Archer,,Simon Mayhew-Archer,wikipedia
Jerry Wald,,Jerry Wald,wikipedia
Aline Brosh McKenna,,Aline Brosh McKenna,wikipedia
Phil Ford,Rocky Mount,Phil Ford (basketball),wikipedia
Luke Greenfield,,Luke Greenfield,wikipedia
Warner Bros,the original,Warner Bros.,wikipedia
Helen Fielding,,Helen Fielding,wikipedia
