nombre,pais,api_id,api_source
Steve Kloves. Production,,Harry Potter (film series),wikipedia
Adam Elliot,,Adam Elliot,wikipedia
Sanjay Patel,,Sanjay and Craig,wikipedia
Sally Wainwright,,Sally Wainwright,wikipedia
Dick Clark Productions,,Dick Clark Productions,wikipedia
Freya Marske,,Freya Marske,wikipedia
David Levithan,,David Levithan,wikipedia
Hoagy Carmichael,the Western,Hoagy Carmichael,wikipedia
Heart Management,the normal,Arrhythmia,wikipedia
Colleen Ballinger,,Colleen Ballinger,wikipedia
Tim Birkhead,,Tim Birkhead,wikipedia
Carl Sagan,,Carl Sagan,wikipedia
Brian Greene,,Brian Greene,wikipedia
Charles Darwin,the,Charles Darwin,wikipedia
Diebold Inc,the New,Diebold Nixdorf,wikipedia
Benedict Cumberbatch,,Benedict Cumberbatch,wikipedia
Hiroshi Yoshimura,,Hiroshi Yoshimura,wikipedia
Thomas Gray,,Thomas Gray,wikipedia
Zeng Qingjie,,Pursuit of Jade,wikipedia
Kang Kyeong-ae,,Kang Kyŏngae,wikipedia
Samantha Jayne,the original,Mean Girls (2024 film),wikipedia
William Wyler,the,William Wyler,wikipedia
Charles Baudelaire,the Romantics,Charles Baudelaire,wikipedia
Allen Ginsberg,the Vietnam,Allen Ginsberg,wikipedia
Buena Vista Pictures Distribution,Disney Original,Walt Disney Studios Motion Pictures,wikipedia
W. B. Yeats,Sandymount,W. B. Yeats,wikipedia
Matsuri Hino,Sapporo,Matsuri Hino,wikipedia
Linda Woolverton,,Linda Woolverton,wikipedia
Schirmer Books,,"G. Schirmer, Inc.",wikipedia
Yoji Shinkawa,,Yoji Shinkawa,wikipedia
Sigmund Freud,conflicts in,Sigmund Freud,wikipedia
Apollonius Rhodius,,Apollonius of Rhodes,wikipedia
Patti Smith. Smith,,Patti Smith,wikipedia
Spike Jonze,,Spike Jonze,wikipedia
Futures Music Group,his previous,Running with Scissors (Cavetown album),wikipedia
Augusten Burroughs,American,Augusten Burroughs,wikipedia
Ray Charles,,Ray Charles,wikipedia
Dave Eggers. Published,American,Dave Eggers,wikipedia
Duke Bootee,,Duke Bootee,wikipedia
MICA Team,,Girls' Frontline 2: Exilium,wikipedia
Allie Brosh,her life,Allie Brosh,wikipedia
Anna Richardson,,Anna Richardson,wikipedia
Medusa Music Group GmbH,,Holiday on Ice,wikipedia
Danny McNamara,,Danny McNamara (footballer),wikipedia
Mike Flanagan,,Mike Flanagan (filmmaker),wikipedia
John Carpenter,New York,John Carpenter,wikipedia
Ted Tally. The,the Mystery,Ted Tally,wikipedia
Bram Stoker,,Bram Stoker,wikipedia
Ron Howard,,Ron Howard,wikipedia
Leland Gaunt,,Needful Things,wikipedia
William Goldman,the BAFTAs,William Goldman,wikipedia
David Robert Mitchell,,David Robert Mitchell,wikipedia
Mikael Salomon,the Academy,Mikael Salomon,wikipedia
Epic Records,,Epic Records,wikipedia
M. R. Carey,British,Mike Carey (writer),wikipedia
Natsume Ono,,Natsume Ono,wikipedia
Alan Taylor,,Alan Taylor (director),wikipedia
Catherine II,the rest,Catherine the Great,wikipedia
World Wide Pictures,,World Wide Pictures,wikipedia
Barbara W. Tuchman. After,,Barbara W. Tuchman,wikipedia
Discovery Channel,its peak,Discovery Channel,wikipedia
American Public Television,,American Public Television,wikipedia
Metro Channel,,Metro Channel,wikipedia
Nicholas Pileggi,American,Nicholas Pileggi,wikipedia
Giada De Laurentiis,,Giada De Laurentiis,wikipedia
Ten Speed Press,,Ten Speed Press,wikipedia
People Inc,,People Inc.,wikipedia
Deb Perelman,George Washington,Smitten Kitchen,wikipedia
Lisa Lillien,,Lisa Lillien,wikipedia
Fox Faith,the work,Fox Faith,wikipedia
Burt Bacharach,,Burt Bacharach,wikipedia
J. A. Bayona,,J. A. Bayona,wikipedia
Hans Thomas,,Hans-Thomas Tillschneider,wikipedia
James Lees,,James Lees-Milne,wikipedia
Isekai Records,,Broke Records,wikipedia
Franklin Leonard,,Franklin Leonard,wikipedia
Orin Smith,,Orin Smith,wikipedia
Jeremy Allen White,Nowhere,Jeremy Allen White,wikipedia
Rosser Reeves,,Rosser Reeves,wikipedia
Fortune Magazine,,Fortune (magazine),wikipedia
Dean DeBlois,,Dean DeBlois,wikipedia
Peter Rees,,Chohan family murders,wikipedia
Robert T. Kiyosaki,,Robert Kiyosaki,wikipedia
Augustus Saint-Gaudens,Dublin to,Augustus Saint-Gaudens,wikipedia
Pope Pius IX,his Jewish,Pope Pius IX,wikipedia
Benjamin Franklin,the Province,Benjamin Franklin,wikipedia
Epic Games Publishing,,Epic Games,wikipedia
Apurva Asrani,,Apurva Asrani,wikipedia
Arc System Works,,Arc System Works,wikipedia
Clogs. It,clogs,Clog,wikipedia
Lee Child,British,Lee Child,wikipedia
Universal Studios Home Entertainment,EuropaCorp Films,Universal Pictures Home Entertainment,wikipedia
John Schlesinger,the Madding,John Schlesinger,wikipedia
Thomas Mallon,American,Thomas Mallon,wikipedia
Open Road Films,,Open Road Films,wikipedia
Tony Goldwyn,the Earth,Tony Goldwyn,wikipedia
Elia Kazan,Constantinople,Elia Kazan,wikipedia
Eckhart Tolle,traditions such,Eckhart Tolle,wikipedia
Drew Goddard. It,,Drew Goddard,wikipedia
Mark Zuckerberg,,Mark Zuckerberg,wikipedia
Sergio Leone,,Sergio Leone,wikipedia
Nazi Germany,the east,Nazi Germany,wikipedia
Takahiro Miki,,Takahiro Miki,wikipedia
Francis Chan,,Francis Chan,wikipedia
Lyntone Productions,,Silence & Darkness,wikipedia
Dennis Dugan,,Dennis Dugan,wikipedia
Richard Neville,this conflict,"Richard Neville, 16th Earl of Warwick",wikipedia
William Morrow,,William Morrow and Company,wikipedia
